audit_id,protected_attribute,strategy,accuracy,demographic_parity_difference,equal_opportunity_difference,notes
f2107232-0519-4cdc-8069-c39bcf0e197e,district,Baseline threshold,1.0,0.6666666666666667,0.0,Single 0.50 approval threshold applied to every group.
f2107232-0519-4cdc-8069-c39bcf0e197e,district,Group threshold adjustment,0.75,0.0,0.33333333333333337,"Per-group thresholds target a shared selection rate. This is a simulation, not a policy recommendation."
f2107232-0519-4cdc-8069-c39bcf0e197e,district,Reweighting proxy simulation,0.875,0.5,0.0,Approximates giving more training weight to applicants in South by relaxing its score cutoff.
